@relation openjpa_Train_R3-weka.filters.unsupervised.attribute.Remove-R2-3-weka.filters.unsupervised.attribute.StringToNominal-R1

@attribute release {0.9.6,0.9.0}
@attribute loc numeric
@attribute wmc numeric
@attribute assignmentsQty numeric
@attribute mathOperationsQty numeric
@attribute qtyTryCatch numeric
@attribute qtyReturn numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute age numeric
@attribute nAuth numeric
@attribute nr numeric
@attribute nSmell numeric
@attribute buggy {false,true}

@data
0.9.0,1,1,0,0,0,0,2,0,45,1,4,0,false
0.9.6,3,1,0,0,0,1,0,0,185,1,1,0,false
0.9.6,4,1,0,0,0,0,0,2,185,3,10,0,false
0.9.0,1,1,0,0,0,0,24,0,45,3,6,0,false
0.9.6,3,1,0,0,0,1,0,0,168,2,2,0,false
0.9.0,5,5,0,1,0,3,4,0,37,2,5,0,false
0.9.6,24,2,1,0,0,1,1,1,185,1,1,56,false
0.9.6,10,3,0,0,1,2,0,7,185,4,14,1,true
0.9.0,3,1,0,0,0,1,0,0,37,2,6,0,false
0.9.0,3,1,0,0,0,1,0,0,45,3,11,0,false
0.9.0,3,2,0,0,0,1,3,0,45,3,13,0,false
0.9.6,3,1,0,0,0,1,0,1,185,2,3,0,true
0.9.6,4,2,1,0,0,0,1,1,168,1,3,0,false
0.9.6,1,1,0,0,0,0,0,0,185,2,5,0,false
0.9.0,3,1,0,0,0,0,0,0,45,2,5,0,false
0.9.6,3,1,0,0,0,1,0,0,185,4,19,0,true
0.9.0,17,14,1,0,1,1,0,11,0,1,5,1,false
0.9.0,3,4,0,0,0,0,10,1,45,3,11,0,false
0.9.0,1,1,0,0,0,0,1,0,45,1,4,0,false
0.9.0,3,1,0,0,0,1,0,0,0,1,4,0,false
0.9.0,3,2,0,0,0,1,3,1,45,2,6,2,false
0.9.6,3,1,1,0,0,0,1,0,168,1,3,0,false
0.9.0,3,1,0,0,0,0,0,0,45,2,5,0,false
0.9.0,3,1,0,0,0,0,0,0,45,2,4,0,false
0.9.6,12,7,4,0,0,4,2,2,185,1,3,3,false
0.9.6,18,13,3,0,0,6,1,2,185,4,19,2,true
0.9.0,3,1,0,0,0,0,0,1,37,2,4,0,false
0.9.6,5,2,3,0,0,0,13,0,185,2,5,0,false
0.9.6,3,1,0,0,0,1,0,0,185,2,3,0,true
0.9.6,1,1,0,0,0,0,0,0,185,2,5,0,false
0.9.6,3,1,0,0,0,1,0,0,185,3,6,0,true
0.9.6,4,2,1,2,0,0,5,0,168,2,7,0,false
0.9.6,3,1,1,0,0,0,0,0,94,2,2,0,false
0.9.6,3,1,0,0,0,1,0,1,185,3,5,0,true
0.9.6,30,11,2,0,1,0,0,7,185,4,19,5,true
0.9.6,3,1,0,0,0,1,0,0,185,1,2,0,false
0.9.0,8,2,0,0,1,0,0,2,45,3,7,1,false
0.9.0,3,1,0,0,0,1,0,0,37,2,4,0,false
0.9.0,3,1,0,0,0,1,0,0,0,1,5,0,false
0.9.0,4,2,0,0,0,0,0,1,37,1,2,0,false
0.9.6,3,1,0,1,0,1,1,0,94,2,2,0,false
0.9.0,3,1,0,0,0,1,1,1,45,3,10,0,false
0.9.0,3,1,0,0,0,1,0,0,0,1,4,0,false
0.9.0,6,2,3,1,0,0,1,4,45,2,6,1,false
0.9.6,3,1,0,0,0,1,0,0,185,1,1,0,false
0.9.6,3,1,0,0,0,1,0,1,168,2,3,0,false
0.9.6,4,2,0,0,0,2,0,0,185,1,1,0,false
0.9.0,3,1,0,0,0,0,0,0,45,3,7,0,false
0.9.0,7,2,2,0,0,2,0,0,37,3,9,1,false
0.9.0,3,1,1,0,0,0,0,0,37,2,2,0,false
